date,variable,value
19020509,TMIN,89
19020510,TMAX,272
19020510,TMIN,67
19020511,TMAX,228
19020511,TMIN,72
19020512,TMAX,317
19020512,TMIN,100
19020513,TMAX,267
19020513,TMIN,178
19020514,TMAX,200
19020514,TMIN,128
19020515,TMAX,200
19020515,TMIN,78
19020516,TMAX,256
19020516,TMIN,122
19020517,TMAX,283
19020517,TMIN,156
19020518,TMAX,311
19020518,TMIN,189
19020519,TMAX,300
19020519,TMIN,206
19020520,TMAX,328
19020520,TMIN,189
19020521,TMAX,294
19020521,TMIN,194
19020522,TMAX,289
19020522,TMIN,194
19020523,TMAX,278
19020523,TMIN,194
19020524,TMAX,261
19020524,TMIN,172
19020525,TMAX,267
19020525,TMIN,172
19020526,TMAX,211
19020526,TMIN,161
19020527,TMAX,183
19020527,TMIN,94
19020528,TMAX,222
19020528,TMIN,83
19020529,TMAX,250
19020529,TMIN,122
19020530,TMAX,217
19020530,TMIN,144
19020531,TMAX,244
19020531,TMIN,161
19020601,TMAX,294
19020601,TMIN,178
19020602,TMAX,300
19020602,TMIN,206
19020603,TMAX,283
19020603,TMIN,167
19020604,TMAX,289
19020604,TMIN,161
19020605,TMAX,272
19020605,TMIN,172
19020606,TMAX,300
19020606,TMIN,200
19020607,TMAX,267
19020607,TMIN,178
19020608,TMAX,222
19020608,TMIN,122
19020609,TMAX,244
19020609,TMIN,122
19020610,TMAX,339
19020610,TMIN,144
19020611,TMAX,322
19020611,TMIN,156
19020612,TMAX,344
19020612,TMIN,228
19020613,TMAX,333
19020613,TMIN,194
19020614,TMAX,333
19020614,TMIN,194
19020615,TMAX,322
19020615,TMIN,178
19020616,TMAX,239
19020616,TMIN,150
19020617,TMAX,250
19020617,TMIN,144
19020618,TMAX,267
19020618,TMIN,183
19020619,TMAX,239
19020619,TMIN,144
19020620,TMAX,189
19020620,TMIN,144
19020621,TMAX,189
19020621,TMIN,94
19020622,TMAX,200
19020622,TMIN,83
19020623,TMAX,228
19020623,TMIN,139
19020624,TMAX,228
19020624,TMIN,144
19020625,TMAX,283
19020625,TMIN,161
19020626,TMAX,244
19020626,TMIN,133
19020627,TMAX,189
19020627,TMIN,133
19020628,TMAX,200
19020628,TMIN,133
19020629,TMAX,211
19020629,TMIN,144
19020630,TMAX,178
19020630,TMIN,156
19020701,TMAX,206
19020701,TMIN,128
19020702,TMAX,322
19020702,TMIN,183
19020703,TMAX,322
19020703,TMIN,217
19020704,TMAX,317
19020704,TMIN,222
19020705,TMAX,317
19020705,TMIN,228
19020706,TMAX,328
19020706,TMIN,228
19020707,TMAX,328
19020707,TMIN,228
19020708,TMAX,328
19020708,TMIN,211
19020709,TMAX,311
19020709,TMIN,217
19020710,TMAX,244
19020710,TMIN,161
19020711,TMAX,261
19020711,TMIN,144
19020712,TMAX,300
19020712,TMIN,161
19020713,TMAX,322
19020713,TMIN,189
19020714,TMAX,311
19020714,TMIN,200
19020715,TMAX,322
19020715,TMIN,217
19020716,TMAX,300
19020716,TMIN,200
19020717,TMAX,344
19020717,TMIN,217
19020718,TMAX,311
19020718,TMIN,206
19020719,TMAX,278
19020719,TMIN,194
19020720,TMAX,244
19020720,TMIN,183
19020721,TMAX,261
19020721,TMIN,133
19020722,TMAX,283
19020722,TMIN,156
19020723,TMAX,283
19020723,TMIN,183
19020724,TMAX,311
19020724,TMIN,183
19020725,TMAX,317
19020725,TMIN,194
19020726,TMAX,317
19020726,TMIN,211
19020727,TMAX,317
19020727,TMIN,211
19020728,TMAX,278
19020728,TMIN,206
19020729,TMAX,317
19020729,TMIN,183
19020730,TMAX,333
19020730,TMIN,211
19020731,TMAX,339
19020731,TMIN,222
19020801,TMAX,311
19020801,TMIN,189
19020802,TMAX,328
19020802,TMIN,200
19020803,TMAX,328
19020803,TMIN,228
19020804,TMAX,289
19020804,TMIN,194
19020805,TMAX,294
19020805,TMIN,194
19020806,TMAX,261
19020806,TMIN,167
19020807,TMAX,300
19020807,TMIN,156
19020808,TMAX,283
19020808,TMIN,183
19020809,TMAX,289
19020809,TMIN,183
19020810,TMAX,250
19020810,TMIN,194
19020811,TMAX,222
19020811,TMIN,128
19020812,TMAX,244
19020812,TMIN,133
19020813,TMAX,317
19020813,TMIN,167
19020814,TMAX,267
19020814,TMIN,189
19020815,TMAX,272
19020815,TMIN,172
19020816,TMAX,267
19020816,TMIN,183
19020817,TMAX,267
19020817,TMIN,161
19020818,TMAX,222
19020818,TMIN,178
19020819,TMAX,294
19020819,TMIN,189
19020820,TMAX,311
19020820,TMIN,178
19020821,TMAX,267
19020821,TMIN,183
19020822,TMAX,217
19020822,TMIN,150
19020823,TMAX,200
19020823,TMIN,117
19020824,TMAX,244
19020824,TMIN,117
19020825,TMAX,256
19020825,TMIN,139
19020826,TMAX,239
19020826,TMIN,150
19020827,TMAX,278
19020827,TMIN,156
19020828,TMAX,289
19020828,TMIN,144
19020829,TMAX,317
19020829,TMIN,178
19020830,TMAX,300
19020830,TMIN,194
19020831,TMAX,272
19020831,TMIN,222
19020901,TMAX,261
19020901,TMIN,167
19020902,TMAX,250
19020902,TMIN,133
19020903,TMAX,261
19020903,TMIN,122
19020904,TMAX,206
19020904,TMIN,83
19020905,TMAX,244
19020905,TMIN,89
19020906,TMAX,267
19020906,TMIN,144
19020907,TMAX,289
19020907,TMIN,139
19020908,TMAX,278
19020908,TMIN,111
19020909,TMAX,200
19020909,TMIN,89
19020910,TMAX,250
19020910,TMIN,89
19020911,TMAX,167
19020911,TMIN,106
19020912,TMAX,144
19020912,TMIN,83
19020913,TMAX,156
19020913,TMIN,33
19020914,TMAX,189
19020914,TMIN,50
19020915,TMAX,217
19020915,TMIN,67
